"Cite as: CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at: http://cait.wri.org.  Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, ©OECD/IEA, 2014.",,
Country,Year,Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2)
Poland,1894,46.0931
Portugal,1894,1.7807
Qatar,1894,
Romania,1894,1.0406
Russian Federation,1894,23.2179
Rwanda,1894,
Saint Kitts & Nevis,1894,
Saint Lucia,1894,
Saint Vincent & Grenadines,1894,
Samoa,1894,
Sao Tome & Principe,1894,
Saudi Arabia,1894,
Senegal,1894,
Serbia,1894,0.183
Seychelles,1894,
Sierra Leone,1894,
Singapore,1894,
Slovakia,1894,8.2339
Slovenia,1894,0.0489
Solomon Islands,1894,
South Africa,1894,2.4329
Spain,1894,8.735
Sri Lanka,1894,
Sudan,1894,
Suriname,1894,
Swaziland,1894,
Sweden,1894,5.888
Switzerland,1894,3.5834
Syria,1894,
Tajikistan,1894,0.0862
Tanzania,1894,
Thailand,1894,
Togo,1894,
Tonga,1894,
Trinidad & Tobago,1894,
Tunisia,1894,
Turkey,1894,0.392
Turkmenistan,1894,0.4
Uganda,1894,
Ukraine,1894,6.6369
United Arab Emirates,1894,
United Kingdom,1894,362.0985
United States,1894,425.046
Uruguay,1894,
Uzbekistan,1894,1.3865
Vanuatu,1894,
Venezuela,1894,
Vietnam,1894,0.3041
World,1894,1403.312
Yemen,1894,
Zambia,1894,
Zimbabwe,1894,
Afghanistan,1895,
Albania,1895,
Algeria,1895,
Angola,1895,
Antigua & Barbuda,1895,
Argentina,1895,2.2644
Armenia,1895,0.1646
Australia,1895,4.591
Austria,1895,20.3718
Azerbaijan,1895,0.6269
"Bahamas, The",1895,
Bahrain,1895,
Bangladesh,1895,
Barbados,1895,
Belarus,1895,1.358
Belgium,1895,40.1318
Belize,1895,
Benin,1895,
Bhutan,1895,
Bolivia,1895,
Bosnia & Herzegovina,1895,0.0581
Botswana,1895,
Brazil,1895,
Brunei,1895,
Bulgaria,1895,0.0843
Burkina Faso,1895,
Burundi,1895,
Cambodia,1895,
Cameroon,1895,
Canada,1895,13.5312
Cape Verde,1895,
Central African Republic,1895,
Chad,1895,
Chile,1895,0.524
China,1895,
Colombia,1895,
Comoros,1895,
"Congo, Dem. Rep.",1895,
"Congo, Rep.",1895,
Cook Islands,1895,
Costa Rica,1895,
Cote d'Ivoire,1895,
Croatia,1895,0.063
Cuba,1895,
Cyprus,1895,
Czech Republic,1895,30.9229
Denmark,1895,3.5248
Djibouti,1895,
Dominica,1895,
Dominican Republic,1895,
Ecuador,1895,
Egypt,1895,
El Salvador,1895,
Equatorial Guinea,1895,
Eritrea,1895,
Estonia,1895,0.3467
Ethiopia,1895,
European Union (15),1895,811.085
European Union (28),1895,908.546
Fiji,1895,
Finland,1895,0.2382
France,1895,102.7789
Gabon,1895,
"Gambia, The",1895,
Georgia,1895,0.2868
Germany,1895,238.2809
Ghana,1895,
Greece,1895,0.3114
Grenada,1895,
Guatemala,1895,
Guinea,1895,
Guinea-Bissau,1895,
Guyana,1895,
Haiti,1895,
Honduras,1895,
Hungary,1895,6.8627
Iceland,1895,
India,1895,7.6797
Indonesia,1895,0.7658
Iran,1895,
Iraq,1895,
Ireland,1895,
Israel,1895,
Italy,1895,12.0216
Jamaica,1895,
Japan,1895,
Jordan,1895,
Kazakhstan,1895,3.122
Kenya,1895,
Kiribati,1895,
"Korea, Dem. Rep. (North)",1895,
"Korea, Rep. (South)",1895,
Kuwait,1895,
Kyrgyzstan,1895,0.1957
Laos,1895,
Latvia,1895,0.1943
Lebanon,1895,
Lesotho,1895,
Liberia,1895,
Libya,1895,
Lithuania,1895,0.324
Luxembourg,1895,
"Macedonia, FYR",1895,0.0317
Madagascar,1895,
Malawi,1895,
Malaysia,1895,0.1099
Maldives,1895,
Mali,1895,
Malta,1895,
Mauritania,1895,
Mauritius,1895,
Mexico,1895,0.4946
Moldova,1895,0.2857
Mongolia,1895,
Montenegro,1895,
Morocco,1895,
Mozambique,1895,
Myanmar,1895,
Namibia,1895,
Nauru,1895,
Nepal,1895,
Netherlands,1895,11.6259
New Zealand,1895,1.6232
Nicaragua,1895,
Niger,1895,
Nigeria,1895,
Niue,1895,
Norway,1895,3.0594
Oman,1895,
Pakistan,1895,
Palau,1895,
Panama,1895,
Papua New Guinea,1895,
Paraguay,1895,
Peru,1895,0.0403
Philippines,1895,
Poland,1895,48.9913
Portugal,1895,1.6964
Qatar,1895,
Romania,1895,1.0772
Russian Federation,1895,26.6829
Rwanda,1895,
Saint Kitts & Nevis,1895,
Saint Lucia,1895,
Saint Vincent & Grenadines,1895,
Samoa,1895,
Sao Tome & Principe,1895,
Saudi Arabia,1895,
Senegal,1895,
Serbia,1895,0.183
Seychelles,1895,
Sierra Leone,1895,
Singapore,1895,
Slovakia,1895,8.5457
Slovenia,1895,0.0489
Solomon Islands,1895,
South Africa,1895,3.3379
Spain,1895,8.6031
Sri Lanka,1895,
Sudan,1895,
Suriname,1895,
Swaziland,1895,
Sweden,1895,5.954
Switzerland,1895,3.8472
Syria,1895,
Tajikistan,1895,0.099
Tanzania,1895,
Thailand,1895,
Togo,1895,
Tonga,1895,
Trinidad & Tobago,1895,
Tunisia,1895,
Turkey,1895,0.3737
Turkmenistan,1895,0.4598
Uganda,1895,
Ukraine,1895,7.6273
United Arab Emirates,1895,
United Kingdom,1895,365.5463
United States,1895,479.951
Uruguay,1895,
Uzbekistan,1895,1.5935
Vanuatu,1895,
Venezuela,1895,
Vietnam,1895,0.1795
World,1895,1487.584
Yemen,1895,
Zambia,1895,
Zimbabwe,1895,
Afghanistan,1896,
Albania,1896,
Algeria,1896,
Angola,1896,
Antigua & Barbuda,1896,
Argentina,1896,2.3047
Armenia,1896,0.1676
Australia,1896,4.5031
Austria,1896,21.2988
Azerbaijan,1896,0.6381
"Bahamas, The",1896,
Bahrain,1896,
Bangladesh,1896,
Barbados,1896,
Belarus,1896,1.3823
Belgium,1896,42.2789
Belize,1896,
Benin,1896,
Bhutan,1896,
Bolivia,1896,
Bosnia & Herzegovina,1896,0.0648
Botswana,1896,
Brazil,1896,
Brunei,1896,
Bulgaria,1896,0.1063
Burkina Faso,1896,
Burundi,1896,
Cambodia,1896,
Cameroon,1896,
Canada,1896,14.6487
Cape Verde,1896,
Central African Republic,1896,
Chad,1896,
Chile,1896,0.5349
China,1896,
Colombia,1896,
Comoros,1896,
"Congo, Dem. Rep.",1896,
"Congo, Rep.",1896,
Cook Islands,1896,
Costa Rica,1896,
Cote d'Ivoire,1896,
Croatia,1896,0.0702
Cuba,1896,
Cyprus,1896,
Czech Republic,1896,31.6837
Denmark,1896,4.3125
Djibouti,1896,
Dominica,1896,
Dominican Republic,1896,
Ecuador,1896,
Egypt,1896,
El Salvador,1896,
Equatorial Guinea,1896,
Eritrea,1896,
Estonia,1896,0.3529
Ethiopia,1896,
European Union (15),1896,848.1904
European Union (28),1896,950.9631
Fiji,1896,
Finland,1896,0.3004
France,1896,106.2816
Gabon,1896,
"Gambia, The",1896,
Georgia,1896,0.2919
Germany,1896,256.2638
Ghana,1896,
Greece,1896,0.3737
Grenada,1896,
Guatemala,1896,
Guinea,1896,
Guinea-Bissau,1896,
Guyana,1896,
Haiti,1896,
Honduras,1896,
Hungary,1896,7.3756
Iceland,1896,
India,1896,8.31
Indonesia,1896,0.861
Iran,1896,
Iraq,1896,
Ireland,1896,
Israel,1896,
Italy,1896,11.4244
Jamaica,1896,
Japan,1896,
Jordan,1896,
Kazakhstan,1896,3.1779
Kenya,1896,
Kiribati,1896,
"Korea, Dem. Rep. (North)",1896,
"Korea, Rep. (South)",1896,
Kuwait,1896,
Kyrgyzstan,1896,0.1992
Laos,1896,
Latvia,1896,0.1978
Lebanon,1896,
Lesotho,1896,
Liberia,1896,
Libya,1896,
Lithuania,1896,0.3298
Luxembourg,1896,
"Macedonia, FYR",1896,0.0353
Madagascar,1896,
Malawi,1896,
Malaysia,1896,0.1246
Maldives,1896,
Mali,1896,
Malta,1896,
Mauritania,1896,
Mauritius,1896,
Mexico,1896,0.5789
Moldova,1896,0.2908
Mongolia,1896,
Montenegro,1896,
Morocco,1896,
Mozambique,1896,
Myanmar,1896,
Namibia,1896,
Nauru,1896,
Nepal,1896,
Netherlands,1896,12.4906
New Zealand,1896,1.7697
Nicaragua,1896,
Niger,1896,
Nigeria,1896,
Niue,1896,
Norway,1896,3.1254
Oman,1896,
Pakistan,1896,
Palau,1896,
Panama,1896,
Papua New Guinea,1896,
Paraguay,1896,
Peru,1896,0.0403
Philippines,1896,
Poland,1896,52.725
Portugal,1896,1.7294
Qatar,1896,
Romania,1896,1.1212
Russian Federation,1896,27.1608
Rwanda,1896,
Saint Kitts & Nevis,1896,
Saint Lucia,1896,
Saint Vincent & Grenadines,1896,
Samoa,1896,
Sao Tome & Principe,1896,
Saudi Arabia,1896,
Senegal,1896,
Serbia,1896,0.204
Seychelles,1896,
Sierra Leone,1896,
Singapore,1896,
Slovakia,1896,8.7559
Slovenia,1896,0.0545
Solomon Islands,1896,
South Africa,1896,4.2576
Spain,1896,9.3029
Sri Lanka,1896,
Sudan,1896,
Suriname,1896,
Swaziland,1896,
Sweden,1896,6.1555
Switzerland,1896,4.2099
Syria,1896,
Tajikistan,1896,0.1008
Tanzania,1896,
Thailand,1896,
Togo,1896,
Tonga,1896,
Trinidad & Tobago,1896,
Tunisia,1896,
Turkey,1896,0.4433
Turkmenistan,1896,0.468
Uganda,1896,
Ukraine,1896,7.764
United Arab Emirates,1896,
United Kingdom,1896,375.9777
United States,1896,480.8853
Uruguay,1896,
Uzbekistan,1896,1.622
Vanuatu,1896,
Venezuela,1896,
Vietnam,1896,0.3627
World,1896,1535.216
Yemen,1896,
Zambia,1896,
Zimbabwe,1896,
Afghanistan,1897,
Albania,1897,
Algeria,1897,
Angola,1897,
Antigua & Barbuda,1897,
Argentina,1897,2.0812
Armenia,1897,0.1937
Australia,1897,4.9757
Austria,1897,23.0209
Azerbaijan,1897,0.7378
"Bahamas, The",1897,
Bahrain,1897,
Bangladesh,1897,
Barbados,1897,
Belarus,1897,1.5983
Belgium,1897,43.7445
Belize,1897,
Benin,1897,
Bhutan,1897,
Bolivia,1897,
Bosnia & Herzegovina,1897,0.0504
Botswana,1897,
Brazil,1897,
Brunei,1897,
Bulgaria,1897,0.1099
Burkina Faso,1897,
Burundi,1897,
Cambodia,1897,
Cameroon,1897,
Canada,1897,14.7989
Cape Verde,1897,
Central African Republic,1897,
Chad,1897,
Chile,1897,0.6375
China,1897,
Colombia,1897,
Comoros,1897,
"Congo, Dem. Rep.",1897,
"Congo, Rep.",1897,
Cook Islands,1897,
Costa Rica,1897,
Cote d'Ivoire,1897,
Croatia,1897,0.0546
Cuba,1897,
Cyprus,1897,
Czech Republic,1897,33.5324
Denmark,1897,4.624
Djibouti,1897,
Dominica,1897,
Dominican Republic,1897,
Ecuador,1897,
Egypt,1897,
El Salvador,1897,
Equatorial Guinea,1897,
Eritrea,1897,
Estonia,1897,0.4081
Ethiopia,1897,
European Union (15),1897,886.2923
European Union (28),1897,994.1689
Fiji,1897,
Finland,1897,0.513
France,1897,111.261
Gabon,1897,
"Gambia, The",1897,
Georgia,1897,0.3375
Germany,1897,273.5542
Ghana,1897,
Greece,1897,0.3627
Grenada,1897,
Guatemala,1897,
Guinea,1897,
Guinea-Bissau,1897,
Guyana,1897,
Haiti,1897,
Honduras,1897,
Hungary,1897,7.4636
Iceland,1897,
India,1897,8.9988
Indonesia,1897,1.1065
Iran,1897,
Iraq,1897,
Ireland,1897,
Israel,1897,
Italy,1897,11.9227
Jamaica,1897,
Japan,1897,
Jordan,1897,
Kazakhstan,1897,3.6743
Kenya,1897,
Kiribati,1897,
"Korea, Dem. Rep. (North)",1897,
"Korea, Rep. (South)",1897,
Kuwait,1897,
Kyrgyzstan,1897,0.2303
Laos,1897,
Latvia,1897,0.2287
Lebanon,1897,
Lesotho,1897,
Liberia,1897,
Libya,1897,
Lithuania,1897,0.3813
Luxembourg,1897,
"Macedonia, FYR",1897,0.0275
Madagascar,1897,
Malawi,1897,
Malaysia,1897,0.0916
Maldives,1897,
Mali,1897,
Malta,1897,
Mauritania,1897,
Mauritius,1897,
Mexico,1897,0.6888
Moldova,1897,0.3362
Mongolia,1897,
Montenegro,1897,
Morocco,1897,
Mozambique,1897,
Myanmar,1897,
Namibia,1897,
Nauru,1897,
Nepal,1897,
Netherlands,1897,13.1025
New Zealand,1897,1.876
Nicaragua,1897,
Niger,1897,
Nigeria,1897,
Niue,1897,
Norway,1897,3.3855
Oman,1897,
Pakistan,1897,
Palau,1897,
Panama,1897,
Papua New Guinea,1897,
Paraguay,1897,
Peru,1897,0.0403
Philippines,1897,
Poland,1897,55.0919
Portugal,1897,1.8173
Qatar,1897,
Romania,1897,1.2971
Russian Federation,1897,31.4035
Rwanda,1897,
Saint Kitts & Nevis,1897,
Saint Lucia,1897,
Saint Vincent & Grenadines,1897,
Samoa,1897,
Sao Tome & Principe,1897,
Saudi Arabia,1897,
Senegal,1897,
Serbia,1897,0.1586
Seychelles,1897,
Sierra Leone,1897,
Singapore,1897,
Slovakia,1897,9.2668
Slovenia,1897,0.0424
Solomon Islands,1897,
South Africa,1897,4.7779
Spain,1897,9.5447
Sri Lanka,1897,
Sudan,1897,
Suriname,1897,
Swaziland,1897,
Sweden,1897,6.8553
Switzerland,1897,4.4408
Syria,1897,
Tajikistan,1897,0.1165
Tanzania,1897,
Thailand,1897,
Togo,1897,
Tonga,1897,
Trinidad & Tobago,1897,
Tunisia,1897,
Turkey,1897,0.3151
Turkmenistan,1897,0.5411
Uganda,1897,
Ukraine,1897,8.9768
United Arab Emirates,1897,
United Kingdom,1897,385.9694
United States,1897,500.2899
Uruguay,1897,
Uzbekistan,1897,1.8754
Vanuatu,1897,
Venezuela,1897,
Vietnam,1897,0.524
World,1897,1612.16
Yemen,1897,
Zambia,1897,
Zimbabwe,1897,
Afghanistan,1898,
Albania,1898,
Algeria,1898,
Angola,1898,
Antigua & Barbuda,1898,
Argentina,1898,2.3486
Armenia,1898,0.2173
Australia,1898,5.6132
Austria,1898,24.4572
Azerbaijan,1898,0.8274
"Bahamas, The",1898,
Bahrain,1898,
Bangladesh,1898,
Barbados,1898,
Belarus,1898,1.7925
Belgium,1898,45.0855
Belize,1898,
Benin,1898,
Bhutan,1898,
Bolivia,1898,
Bosnia & Herzegovina,1898,0.0764
Botswana,1898,
Brazil,1898,
Brunei,1898,
Bulgaria,1898,0.1466
Burkina Faso,1898,
Burundi,1898,
Cambodia,1898,
Cameroon,1898,
Canada,1898,15.7112
Cape Verde,1898,
Central African Republic,1898,
Chad,1898,
Chile,1898,0.7401
China,1898,
Colombia,1898,
Comoros,1898,
"Congo, Dem. Rep.",1898,
"Congo, Rep.",1898,
Cook Islands,1898,
Costa Rica,1898,
Cote d'Ivoire,1898,
Croatia,1898,0.0828
Cuba,1898,
Cyprus,1898,
Czech Republic,1898,34.2816
Denmark,1898,4.8035
Djibouti,1898,
Dominica,1898,
Dominican Republic,1898,
Ecuador,1898,
Egypt,1898,
El Salvador,1898,
Equatorial Guinea,1898,
Eritrea,1898,
Estonia,1898,0.4577
Ethiopia,1898,
European Union (15),1898,906.6934
European Union (28),1898,1021.9693
Fiji,1898,
Finland,1898,0.4873
France,1898,115.0459
Gabon,1898,
"Gambia, The",1898,
Georgia,1898,0.3786
Germany,1898,285.3743
Ghana,1898,
Greece,1898,0.4617
Grenada,1898,
Guatemala,1898,
Guinea,1898,
Guinea-Bissau,1898,
Guyana,1898,
Haiti,1898,
Honduras,1898,
Hungary,1898,8.5335
Iceland,1898,
India,1898,9.9734
Indonesia,1898,1.2897
Iran,1898,
Iraq,1898,
Ireland,1898,
Israel,1898,
Italy,1898,12.4026
Jamaica,1898,
Japan,1898,
Jordan,1898,
Kazakhstan,1898,4.1209
Kenya,1898,
Kiribati,1898,
"Korea, Dem. Rep. (North)",1898,
"Korea, Rep. (South)",1898,
Kuwait,1898,
Kyrgyzstan,1898,0.2583
Laos,1898,
Latvia,1898,0.2565
Lebanon,1898,
Lesotho,1898,
Liberia,1898,
Libya,1898,
Lithuania,1898,0.4276
Luxembourg,1898,
"Macedonia, FYR",1898,0.0416
Madagascar,1898,
Malawi,1898,
Malaysia,1898,0.1282
Maldives,1898,
Mali,1898,
Malta,1898,
Mauritania,1898,
Mauritius,1898,
Mexico,1898,0.7365
Moldova,1898,0.3771
Mongolia,1898,
Montenegro,1898,
Morocco,1898,
Mozambique,1898,
Myanmar,1898,
Namibia,1898,
Nauru,1898,
Nepal,1898,
Netherlands,1898,12.9339
New Zealand,1898,2.0225
Nicaragua,1898,
Niger,1898,
Nigeria,1898,
Niue,1898,
Norway,1898,3.3855
Oman,1898,
Pakistan,1898,
Palau,1898,
Panama,1898,
Papua New Guinea,1898,
Paraguay,1898,
Peru,1898,0.0879
Philippines,1898,
Poland,1898,59.8404
Portugal,1898,2.0812
Qatar,1898,
Romania,1898,1.7111
Russian Federation,1898,35.2202
Rwanda,1898,
Saint Kitts & Nevis,1898,
Saint Lucia,1898,
Saint Vincent & Grenadines,1898,
Samoa,1898,
Sao Tome & Principe,1898,
Saudi Arabia,1898,
Senegal,1898,
Serbia,1898,0.2406
Seychelles,1898,
Sierra Leone,1898,
Singapore,1898,
Slovakia,1898,9.4739
Slovenia,1898,0.0643
Solomon Islands,1898,
South Africa,1898,6.0493
Spain,1898,9.3762
Sri Lanka,1898,
Sudan,1898,
Suriname,1898,
Swaziland,1898,
Sweden,1898,7.3024
Switzerland,1898,4.7485
Syria,1898,
Tajikistan,1898,0.1307
Tanzania,1898,
Thailand,1898,
Togo,1898,
Tonga,1898,
Trinidad & Tobago,1898,
Tunisia,1898,
Turkey,1898,0.524
Turkmenistan,1898,0.6069
Uganda,1898,
Ukraine,1898,10.0678
United Arab Emirates,1898,
United Kingdom,1898,386.8818
United States,1898,545.3204
Uruguay,1898,
Uzbekistan,1898,2.1033
Vanuatu,1898,
Venezuela,1898,
Vietnam,1898,0.6559
World,1898,1700.096
Yemen,1898,
Zambia,1898,
Zimbabwe,1898,
Afghanistan,1899,
Albania,1899,
Algeria,1899,
Angola,1899,
Antigua & Barbuda,1899,
Argentina,1899,2.9202
Armenia,1899,0.2521
Australia,1899,5.7855
Austria,1899,24.8163
Azerbaijan,1899,0.9599
"Bahamas, The",1899,
Bahrain,1899,
Bangladesh,1899,
Barbados,1899,
Belarus,1899,2.0795
Belgium,1899,47.1264
Belize,1899,
Benin,1899,
Bhutan,1899,
Bolivia,1899,
Bosnia & Herzegovina,1899,0.0891
Botswana,1899,
Brazil,1899,
Brunei,1899,
Bulgaria,1899,0.1466
Burkina Faso,1899,
Burundi,1899,
Cambodia,1899,
Cameroon,1899,
Canada,1899,19.1664
Cape Verde,1899,
Central African Republic,1899,
Chad,1899,
Chile,1899,0.6339
China,1899,0.0953
Colombia,1899,
Comoros,1899,
"Congo, Dem. Rep.",1899,
"Congo, Rep.",1899,
Cook Islands,1899,
Costa Rica,1899,
Cote d'Ivoire,1899,
Croatia,1899,0.0966
Cuba,1899,
Cyprus,1899,
Czech Republic,1899,35.1715
Denmark,1899,5.2505
Djibouti,1899,
Dominica,1899,
Dominican Republic,1899,
Ecuador,1899,
Egypt,1899,
El Salvador,1899,
Equatorial Guinea,1899,
Eritrea,1899,
Estonia,1899,0.5309
Ethiopia,1899,
European Union (15),1899,965.0866
European Union (28),1899,1083.4203
Fiji,1899,
Finland,1899,0.7401
France,1899,120.3001
Gabon,1899,
"Gambia, The",1899,
Georgia,1899,0.4392
Germany,1899,303.2803
Ghana,1899,
Greece,1899,0.2418
Grenada,1899,
Guatemala,1899,
Guinea,1899,
Guinea-Bissau,1899,
Guyana,1899,
Haiti,1899,
Honduras,1899,
Hungary,1899,8.2733
Iceland,1899,
India,1899,10.9883
Indonesia,1899,1.1248
Iran,1899,
Iraq,1899,
Ireland,1899,
Israel,1899,
Italy,1899,13.5898
Jamaica,1899,
Japan,1899,
Jordan,1899,
Kazakhstan,1899,4.7806
Kenya,1899,
Kiribati,1899,
"Korea, Dem. Rep. (North)",1899,
"Korea, Rep. (South)",1899,
Kuwait,1899,
Kyrgyzstan,1899,0.2996
Laos,1899,
Latvia,1899,0.2975
Lebanon,1899,
Lesotho,1899,
Liberia,1899,
Libya,1899,
Lithuania,1899,0.4961
Luxembourg,1899,
"Macedonia, FYR",1899,0.0486
Madagascar,1899,
Malawi,1899,
Malaysia,1899,0.1209
Maldives,1899,
Mali,1899,
Malta,1899,
Mauritania,1899,
Mauritius,1899,
Mexico,1899,0.7548
Moldova,1899,0.4375
Mongolia,1899,
Montenegro,1899,
Morocco,1899,
Mozambique,1899,
Myanmar,1899,
Namibia,1899,
Nauru,1899,
Nepal,1899,
Netherlands,1899,13.282
New Zealand,1899,2.1764
Nicaragua,1899,
Niger,1899,
Nigeria,1899,
Niue,1899,
Norway,1899,4.0487
Oman,1899,
Pakistan,1899,
Palau,1899,
Panama,1899,
Papua New Guinea,1899,
Paraguay,1899,
Peru,1899,0.1612
Philippines,1899,
Poland,1899,61.9179
Portugal,1899,2.1471
Qatar,1899,
Romania,1899,1.6085
Russian Federation,1899,40.8584
Rwanda,1899,
Saint Kitts & Nevis,1899,
Saint Lucia,1899,
Saint Vincent & Grenadines,1899,
Samoa,1899,
Sao Tome & Principe,1899,
Saudi Arabia,1899,
Senegal,1899,
Serbia,1899,0.2807
Seychelles,1899,
Sierra Leone,1899,
Singapore,1899,
Slovakia,1899,9.7198
Slovenia,1899,0.075
Solomon Islands,1899,
South Africa,1899,5.518
Spain,1899,10.6256
Sri Lanka,1899,
Sudan,1899,
Suriname,1899,
Swaziland,1899,
Sweden,1899,9.1344
Switzerland,1899,5.1223
Syria,1899,
Tajikistan,1899,0.1516
Tanzania,1899,
Thailand,1899,
Togo,1899,
Tonga,1899,
Trinidad & Tobago,1899,
Tunisia,1899,
Turkey,1899,0.6705
Turkmenistan,1899,0.704
Uganda,1899,
Ukraine,1899,11.6795
United Arab Emirates,1899,
United Kingdom,1899,414.5523
United States,1899,625.5327
Uruguay,1899,
Uzbekistan,1899,2.44
Vanuatu,1899,
Venezuela,1899,
Vietnam,1899,0.7328
World,1899,1861.312
Yemen,1899,
Zambia,1899,
Zimbabwe,1899,
Afghanistan,1900,
Albania,1900,
Algeria,1900,0
Angola,1900,
Antigua & Barbuda,1900,
Argentina,1900,2.0702
Armenia,1900,0.2856
Australia,1900,10.1676
Austria,1900,27.6742
Azerbaijan,1900,1.0874
"Bahamas, The",1900,
Bahrain,1900,
Bangladesh,1900,
Barbados,1900,
Belarus,1900,2.3557
Belgium,1900,49.6655
Belize,1900,
Benin,1900,
Bhutan,1900,
Bolivia,1900,
Bosnia & Herzegovina,1900,0.1207
Botswana,1900,
Brazil,1900,
Brunei,1900,
Bulgaria,1900,0.2162
Burkina Faso,1900,
Burundi,1900,
Cambodia,1900,
Cameroon,1900,
Canada,1900,20.6247
Cape Verde,1900,
Central African Republic,1900,
Chad,1900,
Chile,1900,0.85
China,1900,
Colombia,1900,
Comoros,1900,
"Congo, Dem. Rep.",1900,
"Congo, Rep.",1900,
Cook Islands,1900,
Costa Rica,1900,
Cote d'Ivoire,1900,
Croatia,1900,0.1308
Cuba,1900,
Cyprus,1900,
Czech Republic,1900,34.916
Denmark,1900,5.1479
Djibouti,1900,
Dominica,1900,
Dominican Republic,1900,
Ecuador,1900,
Egypt,1900,
El Salvador,1900,
Equatorial Guinea,1900,
Eritrea,1900,
Estonia,1900,0.6015
Ethiopia,1900,
European Union (15),1900,1010.6814
European Union (28),1900,1131.3256
Fiji,1900,
Finland,1900,0.6009
France,1900,129.2769
Gabon,1900,
"Gambia, The",1900,
Georgia,1900,0.4975
Germany,1900,326.7592
Ghana,1900,
Greece,1900,0.4177
Grenada,1900,
Guatemala,1900,
Guinea,1900,
Guinea-Bissau,1900,
Guyana,1900,
Haiti,1900,
Honduras,1900,
Hungary,1900,9.585
Iceland,1900,
India,1900,13.0512
Indonesia,1900,1.2091
Iran,1900,
Iraq,1900,
Ireland,1900,
Israel,1900,
Italy,1900,13.9085
Jamaica,1900,
Japan,1900,
Jordan,1900,
Kazakhstan,1900,5.4155
Kenya,1900,
Kiribati,1900,
"Korea, Dem. Rep. (North)",1900,
"Korea, Rep. (South)",1900,
Kuwait,1900,
Kyrgyzstan,1900,0.3394
Laos,1900,
Latvia,1900,0.337
Lebanon,1900,
Lesotho,1900,
Liberia,1900,
Libya,1900,
Lithuania,1900,0.562
Luxembourg,1900,
"Macedonia, FYR",1900,0.0658
Madagascar,1900,
Malawi,1900,
Malaysia,1900,0.0586
Maldives,1900,
Mali,1900,
Malta,1900,
Mauritania,1900,
Mauritius,1900,
Mexico,1900,1.0003
Moldova,1900,0.4956
Mongolia,1900,
Montenegro,1900,
Morocco,1900,
Mozambique,1900,
Myanmar,1900,
Namibia,1900,
Nauru,1900,
Nepal,1900,
Netherlands,1900,14.634
New Zealand,1900,2.4402
Nicaragua,1900,
Niger,1900,
Nigeria,1900,
Niue,1900,
Norway,1900,4.155
Oman,1900,
Pakistan,1900,
Palau,1900,
Panama,1900,
Papua New Guinea,1900,
Paraguay,1900,
Peru,1900,0.2455
Philippines,1900,
Poland,1900,63.3066
Portugal,1900,2.4659
Qatar,1900,
Romania,1900,1.2384
Russian Federation,1900,46.2847
Rwanda,1900,
Saint Kitts & Nevis,1900,
Saint Lucia,1900,
Saint Vincent & Grenadines,1900,
Samoa,1900,
Sao Tome & Principe,1900,
Saudi Arabia,1900,
Senegal,1900,
Serbia,1900,0.38
Seychelles,1900,
Sierra Leone,1900,
Singapore,1900,
Slovakia,1900,9.6492
Slovenia,1900,0.1015
Solomon Islands,1900,
South Africa,1900,2.3303
Spain,1900,11.2192
Sri Lanka,1900,
Sudan,1900,
Suriname,1900,
Swaziland,1900,
Sweden,1900,9.171
Switzerland,1900,5.6719
Syria,1900,
Tajikistan,1900,0.1718
Tanzania,1900,
Thailand,1900,
Togo,1900,
Tonga,1900,
Trinidad & Tobago,1900,
Tunisia,1900,
Turkey,1900,1.0369
Turkmenistan,1900,0.7975
Uganda,1900,
Ukraine,1900,13.2306
United Arab Emirates,1900,
United Kingdom,1900,419.7405
United States,1900,662.737
Uruguay,1900,
Uzbekistan,1900,2.7641
Vanuatu,1900,
Venezuela,1900,
Vietnam,1900,0.513
World,1900,1956.576
Yemen,1900,
Zambia,1900,
Zimbabwe,1900,
Afghanistan,1901,
Albania,1901,
Algeria,1901,0
Angola,1901,
Antigua & Barbuda,1901,
Argentina,1901,2.4915
Armenia,1901,0.2932
Australia,1901,11.439
Austria,1901,28.363
Azerbaijan,1901,1.1163
"Bahamas, The",1901,
Bahrain,1901,
Bangladesh,1901,
Barbados,1901,
Belarus,1901,2.4184
Belgium,1901,46.7087
Belize,1901,
Benin,1901,
Bhutan,1901,
Bolivia,1901,
Bosnia & Herzegovina,1901,0.1317
Botswana,1901,
Brazil,1901,2.1031
Brunei,1901,
Bulgaria,1901,0.2711
Burkina Faso,1901,
Burundi,1901,
Cambodia,1901,
Cameroon,1901,
Canada,1901,23.8453
Cape Verde,1901,
Central African Republic,1901,
Chad,1901,
Chile,1901,1.5682
China,1901,
Colombia,1901,
Comoros,1901,
"Congo, Dem. Rep.",1901,
"Congo, Rep.",1901,
Cook Islands,1901,
Costa Rica,1901,
Cote d'Ivoire,1901,
Croatia,1901,0.1428
Cuba,1901,
Cyprus,1901,
Czech Republic,1901,36.4834
Denmark,1901,5.3604
