leg_id,first,last,gender,state,chamber,party,birthday
J000300,Doug,Jones,M,AL,sen,Democrat,1954-05-04
S001203,Tina,Smith,F,MN,sen,Democrat,1958-03-04
H001079,Cindy,Hyde-Smith,F,MS,sen,Republican,1959-05-10
L000588,Conor,Lamb,M,PA,rep,Democrat,1984-06-27
L000589,Debbie,Lesko,F,AZ,rep,Republican,1958-11-14
C001115,Michael,Cloud,M,TX,rep,Republican,1975-05-13
B001306,Troy,Balderson,M,OH,rep,Republican,1962-01-16
H001082,Kevin,Hern,M,OK,rep,Republican,1961-12-04
M001206,Joseph,Morelle,M,NY,rep,Democrat,1957-04-29
S001205,Mary,Scanlon,F,PA,rep,Democrat,1959-08-30
W000826,Susan,Wild,F,PA,rep,Democrat,1957-06-07
C001055,Ed,Case,M,HI,rep,Democrat,1952-09-27
H001066,Steven,Horsford,M,NV,rep,Democrat,1973-04-29
K000368,Ann,Kirkpatrick,F,AZ,rep,Democrat,1950-03-24
S001211,Greg,Stanton,M,AZ,rep,Democrat,1970-03-08
H001090,Josh,Harder,M,CA,rep,Democrat,1986-08-01
C001124,TJ,Cox,M,CA,rep,Democrat,1963-07-18
C001123,Gilbert,Cisneros,M,CA,rep,Democrat,1971-02-12
P000618,Katie,Porter,F,CA,rep,Democrat,1974-01-03
R000616,Harley,Rouda,M,CA,rep,Democrat,1961-12-10
L000593,Mike,Levin,M,CA,rep,Democrat,1978-10-28
N000191,Joe,Neguse,M,CO,rep,Democrat,1984-05-13
C001121,Jason,Crow,M,CO,rep,Democrat,1979-03-15
H001081,Jahana,Hayes,F,CT,rep,Democrat,1973-03-08
W000823,Michael,Waltz,M,FL,rep,Republican,1974-01-31
S001210,Ross,Spano,M,FL,rep,Republican,1966-07-16
S001214,W.,Steube,M,FL,rep,Republican,1978-05-19
M001207,Debbie,Mucarsel-Powell,F,FL,rep,Democrat,1971-01-18
S001206,Donna,Shalala,F,FL,rep,Democrat,1941-02-14
M001208,Lucy,McBath,F,GA,rep,Democrat,1960-06-01
S001204,Michael,San Nicolas,M,GU,rep,Democrat,1981-01-30
F000467,Abby,Finkenauer,F,IA,rep,Democrat,1988-12-27
A000378,Cynthia,Axne,F,IA,rep,Democrat,1965-04-20
F000469,Russ,Fulcher,M,ID,rep,Republican,1973-07-19
G000586,Jesús,García,M,IL,rep,Democrat,1956-04-12
C001117,Sean,Casten,M,IL,rep,Democrat,1971-11-23
U000040,Lauren,Underwood,F,IL,rep,Democrat,1986-10-04
B001307,James,Baird,M,IN,rep,Republican,1945-06-04
P000615,Greg,Pence,M,IN,rep,Republican,1956-11-14
W000824,Steven,Watkins,M,KS,rep,Republican,1976-09-18
D000629,Sharice,Davids,F,KS,rep,Democrat,1980-05-22
T000482,Lori,Trahan,F,MA,rep,Democrat,1973-10-27
P000617,Ayanna,Pressley,F,MA,rep,Democrat,1974-02-03
T000483,David,Trone,M,MD,rep,Democrat,1955-09-21
S001208,Elissa,Slotkin,F,MI,rep,Democrat,1976-07-10
L000592,Andy,Levin,M,MI,rep,Democrat,1960-08-01
S001215,Haley,Stevens,F,MI,rep,Democrat,1983-06-24
T000481,Rashida,Tlaib,F,MI,rep,Democrat,1976-07-24
H001088,Jim,Hagedorn,M,MN,rep,Republican,1962-08-04
C001119,Angie,Craig,F,MN,rep,Democrat,1972-02-14
P000616,Dean,Phillips,M,MN,rep,Democrat,1969-01-20
O000173,Ilhan,Omar,F,MN,rep,Democrat,1981-10-04
S001212,Pete,Stauber,M,MN,rep,Republican,1966-05-10
G000591,Michael,Guest,M,MS,rep,Republican,1970-02-04
A000377,Kelly,Armstrong,M,ND,rep,Republican,1976-10-08
P000614,Chris,Pappas,M,NH,rep,Democrat,1980-06-04
V000133,Jefferson,Van Drew,M,NJ,rep,Republican,1953-02-23
K000394,Andy,Kim,M,NJ,rep,Democrat,1982-07-12
M001203,Tom,Malinowski,M,NJ,rep,Democrat,1965-09-23
S001207,Mikie,Sherrill,F,NJ,rep,Democrat,1972-01-19
H001080,Debra,Haaland,F,NM,rep,Democrat,1960-12-02
T000484,Xochitl,Torres Small,F,NM,rep,Democrat,1984-11-15
L000590,Susie,Lee,F,NV,rep,Democrat,1966-11-07
R000613,Max,Rose,M,NY,rep,Democrat,1986-11-28
O000172,Alexandria,Ocasio-Cortez,F,NY,rep,Democrat,1989-10-13
D000630,Antonio,Delgado,M,NY,rep,Democrat,1977-01-19
B001308,Anthony,Brindisi,M,NY,rep,Democrat,1978-11-22
G000588,Anthony,Gonzalez,M,OH,rep,Republican,1984-09-19
H001083,Kendra,Horn,F,OK,rep,Democrat,1976-06-09
D000631,Madeleine,Dean,F,PA,rep,Democrat,1959-06-06
H001085,Chrissy,Houlahan,F,PA,rep,Democrat,1967-06-05
M001204,Daniel,Meuser,M,PA,rep,Republican,1964-02-10
J000302,John,Joyce,M,PA,rep,Republican,1957-02-08
R000610,Guy,Reschenthaler,M,PA,rep,Republican,1983-04-17
C001122,Joe,Cunningham,M,SC,rep,Democrat,1982-05-26
T000480,William,Timmons,M,SC,rep,Republican,1984-04-30
J000301,Dusty,Johnson,M,SD,rep,Republican,1976-09-30
B001309,Tim,Burchett,M,TN,rep,Republican,1964-08-25
R000612,John,Rose,M,TN,rep,Republican,1965-02-23
G000590,Mark,Green,M,TN,rep,Republican,1964-11-08
C001120,Dan,Crenshaw,M,TX,rep,Republican,1984-03-14
T000479,Van,Taylor,M,TX,rep,Republican,1972-08-01
G000589,Lance,Gooden,M,TX,rep,Republican,1982-12-01
W000827,Ron,Wright,M,TX,rep,Republican,1953-04-08
F000468,Lizzie,Fletcher,F,TX,rep,Democrat,1975-02-13
E000299,Veronica,Escobar,F,TX,rep,Democrat,1969-09-15
R000614,Chip,Roy,M,TX,rep,Republican,1972-08-07
G000587,Sylvia,Garcia,F,TX,rep,Democrat,1950-09-06
A000376,Colin,Allred,M,TX,rep,Democrat,1983-04-15
M001209,Ben,McAdams,M,UT,rep,Democrat,1974-12-05
L000591,Elaine,Luria,F,VA,rep,Democrat,1975-08-15
R000611,Denver,Riggleman,M,VA,rep,Republican,1970-03-01
C001118,Ben,Cline,M,VA,rep,Republican,1972-02-29
S001209,Abigail,Spanberger,F,VA,rep,Democrat,1979-08-07
W000825,Jennifer,Wexton,F,VA,rep,Democrat,1968-05-27
S001216,Kim,Schrier,F,WA,rep,Democrat,1968-08-23
S001213,Bryan,Steil,M,WI,rep,Republican,1981-03-30
M001205,Carol,Miller,F,WV,rep,Republican,1950-11-04
S001217,Rick,Scott,M,FL,sen,Republican,1952-12-01
B001310,Mike,Braun,M,IN,sen,Republican,1954-03-24
H001089,Joshua,Hawley,M,MO,sen,Republican,1979-12-31
R000615,Mitt,Romney,M,UT,sen,Republican,1947-03-12
M001197,Martha,McSally,F,AZ,sen,Republican,1966-03-22
G000592,Jared,Golden,M,ME,rep,Democrat,1982-07-25
K000395,Fred,Keller,M,PA,rep,Republican,1965-10-23
B001311,Dan,Bishop,M,NC,rep,Republican,1964-07-01
M001210,Gregory,Murphy,M,NC,rep,Republican,1963-03-05
L000594,Kelly,Loeffler,F,GA,sen,Republican,1970-11-27
M000687,Kweisi,Mfume,M,MD,rep,Democrat,1948-10-24
T000165,Thomas,Tiffany,M,WI,rep,Republican,1957-12-30
G000061,Mike,Garcia,M,CA,rep,Republican,1976-04-24
J000020,Chris,Jacobs,M,NY,rep,Republican,1966-11-28
